loss,acc,recall,precision,eod,spd,mad
0.5404496859759093,0.673773724844846,0.48737137511693174,0.6586599241466498,0.3200545310974121,0.10618499,-0.029608607292175293
0.501762959223163,0.7133628906342724,0.5893358278765201,0.6673728813559322,0.281909316778183,0.12076363,-0.019623279571533203
0.48844755155577635,0.725465413646385,0.6099158091674463,0.6798748696558915,0.24465203285217285,0.1217764,-0.020896971225738525
0.47984581722260916,0.7366489539244245,0.6379794200187091,0.682,0.22356581687927246,0.12477231,-0.021961569786071777
0.47325531316203223,0.7402156436342884,0.6342376052385407,0.6953846153846154,0.22532698512077332,0.12718418,-0.01898038387298584
0.46849398798437325,0.7450515662188342,0.6454630495790459,0.696969696969697,0.21610474586486816,0.1306085,-0.01983588933944702
0.46472787951117306,0.7454025430194857,0.6389148737137512,0.7048503611971104,0.22115617990493774,0.13908619,-0.024653494358062744
0.46171660660616665,0.7469643776713839,0.6435921421889617,0.7041965199590583,0.22486275434494019,0.14109758,-0.02336066961288452
0.45951175464443317,0.7531032017125925,0.6594948550046773,0.7042957042957043,0.19965362548828125,0.1357978,-0.027573704719543457
0.45720777684714026,0.7565277082740903,0.6632366697848456,0.7097097097097097,0.19789248704910278,0.13868156,-0.02511352300643921
0.45565982297741964,0.7536629721655292,0.6538821328344246,0.7118126272912424,0.1983567476272583,0.1384114,-0.023048818111419678
0.4547468614355894,0.7580895429259886,0.6679139382600561,0.7090367428003972,0.1819056272506714,0.14152378,-0.0291593074798584
0.45356520036398434,0.7570455746645617,0.6632366697848456,0.7111334002006018,0.19001507759094238,0.13906887,-0.02782464027404785
0.45290447160896535,0.7548992631182727,0.6501403180542563,0.7194616977225673,0.19224053621292114,0.14165342,-0.021881461143493652
0.45221411220378166,0.7577804701878028,0.6688493919550982,0.7072205736894164,0.18343466520309448,0.1398415,-0.027782797813415527
0.4514333153023811,0.7596012380349368,0.6735266604303087,0.7072691552062869,0.1832025647163391,0.14202571,-0.024508953094482422
0.4504616774255798,0.7604281771635939,0.6725912067352666,0.7104743083003953,0.17379611730575562,0.13916317,-0.021923303604125977
0.4501705735848906,0.760895904011115,0.6735266604303087,0.7107601184600197,0.1832025647163391,0.14186102,-0.01994222402572632
0.4494900548792599,0.760319662597209,0.6697848456501403,0.7131474103585658,0.18102502822875977,0.13844696,-0.017961204051971436
0.4491185708876583,0.7618814972491073,0.6744621141253508,0.7124505928853755,0.1768541932106018,0.13959906,-0.01933765411376953
0.4489923574409137,0.7657318265956607,0.6847521047708138,0.7120622568093385,0.16216427087783813,0.1354047,-0.02346700429916382
0.44836312152824637,0.7637524046391915,0.6782039289055192,0.7135826771653543,0.15933829545974731,0.13730404,-0.02342522144317627
0.44771678188302516,0.7621823345068086,0.6688493919550982,0.7193158953722334,0.17555725574493408,0.13906166,-0.016793787479400635
0.448013955895236,0.7672435217046087,0.6903648269410664,0.710298363811357,0.16739988327026367,0.13969931,-0.022820591926574707
0.44691330931257106,0.7647297623966993,0.6744621141253508,0.7202797202797203,0.16109943389892578,0.13827673,-0.02023494243621826
0.44698525624890073,0.7646212478303143,0.6716557530402245,0.7230614300100705,0.17226707935333252,0.14265034,-0.021611452102661133
0.44704500266793185,0.7677950566770612,0.6800748362956034,0.7226640159045725,0.17421245574951172,0.14195389,-0.019713997840881348
0.4472365994430632,0.7686467022471719,0.6931711880261927,0.7111324376199616,0.17198705673217773,0.14182746,-0.020881354808807373
0.44639283232042604,0.7660408993338466,0.6838166510757717,0.7138671875,0.16457390785217285,0.14049211,-0.023508846759796143
0.4455999912747551,0.7640951459593583,0.6669784845650141,0.7268093781855249,0.1724991798400879,0.1430547,-0.02165323495864868
0.44587109761999455,0.7665505302438331,0.6791393826005613,0.7202380952380952,0.16480600833892822,0.1374718,-0.018295705318450928
0.4454128762761053,0.7642538000686936,0.6688493919550982,0.7251521298174443,0.16374123096466064,0.13820171,-0.022299647331237793
0.4454264028287532,0.7666006697867834,0.6782039289055192,0.7213930348258707,0.15933829545974731,0.13869625,-0.02031862735748291
0.4452254970627934,0.7682044085011475,0.6772684752104771,0.7269076305220884,0.17356401681900024,0.14435169,-0.022466957569122314
0.4454296451745225,0.7682208794621166,0.686623012160898,0.716796875,0.16916108131408691,0.14028877,-0.019630372524261475
0.44522976808374126,0.7681707399191664,0.6875584658559402,0.7156767283349562,0.17462879419326782,0.14084175,-0.022946059703826904
0.4449721423402613,0.768429673114402,0.6875584658559402,0.716374269005848,0.1667514443397522,0.14057872,-0.022299647331237793
0.4449557690761721,0.7681123648957315,0.6838166510757717,0.719488188976378,0.16457390785217285,0.13907626,-0.0196722149848938
0.4441291053356108,0.7662332220251628,0.6753975678203928,0.7234468937875751,0.16262853145599365,0.13748169,-0.02100682258605957
0.4447836702838734,0.7680704608332659,0.6894293732460243,0.7134559535333979,0.1698095202445984,0.1402807,-0.024238884449005127
0.44388436230128475,0.7667593238961186,0.6800748362956034,0.7198019801980198,0.1702737808227539,0.14365771,-0.022299647331237793
0.4434646234366276,0.7681625044386817,0.6828811973807296,0.7206317867719645,0.17092221975326538,0.14180481,-0.021695077419281006
0.4437203517862605,0.767076632114789,0.6838166510757717,0.7166666666666667,0.17245131731033325,0.14237559,-0.024927139282226562
0.4434701388481626,0.769148097676674,0.6838166510757717,0.7223320158102767,0.17245131731033325,0.1441705,-0.021090447902679443
0.44314681692400093,0.7699750368053311,0.6828811973807296,0.7256461232604374,0.17092221975326538,0.14161402,-0.021174132823944092
