task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,AR,joint,1.0,1.0,4.844805262605389,0.58079975,0.01725,0.6135882292877823,0.034482758620689655,4000,AGEP,10
ACSIncome,AR,single,2.0,2.0,2.4224026313026945,0.6041635000000001,0.02125,0.5268595041322315,0.045454545454545456,4000,AGEP,10
ACSIncome,AR,joint,2.0,2.0,2.4224026313026945,0.6563106875,0.0265,0.6776570595040491,0.026595744680851064,4000,AGEP,10
ACSIncome,AR,single,5.0,5.0,0.9689610525210778,0.761980875,0.09525,0.6522222222222223,0.13333333333333333,4000,AGEP,10
ACSIncome,AR,joint,5.0,5.0,0.9689610525210778,0.8310787500000001,0.112,0.8724519113708303,0.24504504504504504,4000,AGEP,10
ACSIncome,AR,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,AR,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,CA,single,0.1,0.1,48.44805262605389,0.5094673125,0.014,0.6030245746691871,0.13043478260869565,4000,AGEP,10
ACSIncome,CA,joint,0.1,0.1,48.44805262605389,0.5114765625000001,0.007,0.5191056991488672,0.013490725126475547,4000,AGEP,10
ACSIncome,CA,single,0.5,0.5,9.689610525210778,0.524272125,0.01375,0.32000000000000006,0.0,4000,AGEP,10
ACSIncome,CA,joint,0.5,0.5,9.689610525210778,0.54204725,0.0095,0.5688340237677263,0.0029985007496251873,4000,AGEP,10
ACSIncome,CA,single,1.0,1.0,4.844805262605389,0.56066975,0.01675,0.3895747599451303,0.0,4000,AGEP,10
ACSIncome,CA,joint,1.0,1.0,4.844805262605389,0.6000617500000001,0.02525,0.6057021309148399,0.027696793002915453,4000,AGEP,10
ACSIncome,CA,single,2.0,2.0,2.4224026313026945,0.6124613125,0.0215,0.5991735537190084,0.09090909090909091,4000,AGEP,10
ACSIncome,CA,joint,2.0,2.0,2.4224026313026945,0.6898711875,0.04325,0.6994822496503603,0.06646971935007386,4000,AGEP,10
ACSIncome,CA,single,5.0,5.0,0.9689610525210778,0.7693049375000001,0.1005,0.8732638888888888,0.08333333333333333,4000,AGEP,10
