loss,acc,recall,precision,eod,spd,mad
0.5007541209852323,0.6614934074662503,0.4304334646862686,0.6635514018691588,0.35543952882289886,0.14049743,-0.08362686634063721
0.48419551440693903,0.7055297832108864,0.55835101545923,0.6511134676564156,0.32637912034988403,0.17955567,-0.08003109693527222
0.4761330370572512,0.7156423066252751,0.5926038193391937,0.6439393939393939,0.31516411900520325,0.1796243,-0.07644146680831909
0.4698218864961062,0.7208467028329414,0.5998787511367081,0.6512010529779533,0.2858269512653351,0.1733744,-0.07636862993240356
0.46600111840394093,0.7257246806711426,0.6035162170354653,0.6614617940199335,0.2967431843280792,0.18017475,-0.07358026504516602
0.46305330852045445,0.7262983102918725,0.6004849954531676,0.6665545087483177,0.27462947368621826,0.173388,-0.07700294256210327
0.4609076293360209,0.7273313502452368,0.5892694755986663,0.6830639494026705,0.2656581699848175,0.17733687,-0.07841724157333374
0.4598093965140579,0.7326638077616552,0.6229160351621703,0.660559305689489,0.25756126642227173,0.1725699,-0.07449978590011597
0.45767536926409813,0.7334007822732027,0.6023037284025462,0.6863557858376511,0.24776992201805115,0.17251134,-0.07503926753997803
0.45677726140079905,0.7309198941003996,0.5901788420733556,0.6936230851442822,0.24549558758735657,0.17202172,-0.07714027166366577
0.45621404784730984,0.7274456373863749,0.5847226432252197,0.6891747052518756,0.2385472059249878,0.17359446,-0.07841646671295166
0.4552754471914668,0.730406902481924,0.5913913307062746,0.6903750884642604,0.24060603976249695,0.16964044,-0.07480335235595703
0.45562523051202297,0.7238082393406602,0.5677478023643528,0.6994025392083645,0.2639104127883911,0.17732129,-0.07551199197769165
0.45511470058056874,0.7248971223479469,0.5735071233707184,0.695332598309445,0.2538142204284668,0.17334862,-0.07364696264266968
0.4539989141176979,0.7318735233764362,0.5977568960290998,0.6871080139372823,0.25028350949287415,0.1765255,-0.07437843084335327
0.45352203527128443,0.7327945379567431,0.6010912397696272,0.6859218263576617,0.24727320671081543,0.17380723,-0.07338672876358032
0.453982617400185,0.7376816985733536,0.6253410124280084,0.6724250325945241,0.24778220057487488,0.17623663,-0.07378882169723511
0.45420671289032327,0.739609991568581,0.6335253107002122,0.6690140845070423,0.2521451711654663,0.17721358,-0.0717584490776062
0.4530316293733078,0.7300291645946986,0.5907850863898151,0.6899115044247788,0.23968437314033508,0.17385617,-0.07456731796264648
0.45262361302281495,0.7295091841128525,0.5910882085480449,0.6878306878306878,0.24283838272094727,0.17327055,-0.07447326183319092
0.4523444272074761,0.7330277036282242,0.6023037284025462,0.6851724137931035,0.2383439540863037,0.17127581,-0.07277292013168335
0.4525860125027422,0.7342867846836141,0.6107911488329797,0.6789083557951483,0.24720749258995056,0.17651251,-0.07383590936660767
0.4522015792189573,0.730022175731328,0.5898757199151258,0.6910511363636364,0.24234157800674438,0.1763724,-0.07520467042922974
0.45280026377573956,0.7224465192497498,0.5653228250985147,0.6979790419161677,0.24810463190078735,0.17311332,-0.07138055562973022
0.4520701990208443,0.7290988315298975,0.5862382540163686,0.6926934097421203,0.23277196288108826,0.17294629,-0.07640880346298218
0.45162698896196674,0.7316753020218081,0.6010912397696272,0.682381280110117,0.2418869137763977,0.1783563,-0.07622069120407104
0.4517838449254166,0.725193255642806,0.5732040012124886,0.6967575534266764,0.2412342131137848,0.1724412,-0.0723009705543518
0.45106843319187756,0.7308149254437555,0.5959381630797211,0.685973482205164,0.2327062487602234,0.1708796,-0.07548844814300537
0.4513213089813653,0.7328341415158433,0.6062443164595331,0.6798096532970768,0.21874991059303284,0.16522396,-0.07459163665771484
0.45101468573625897,0.7332211978875629,0.6080630494089118,0.678849407783418,0.23498058319091797,0.16983807,-0.07197093963623047
0.4513511377208924,0.7309222237215232,0.5904819642315853,0.6932384341637011,0.22845104336738586,0.17107964,-0.07371675968170166
0.4507373061727325,0.7328714833068624,0.6013943619278569,0.6857932941583131,0.2369614839553833,0.17260623,-0.07338672876358032
0.4509271243747178,0.734599225326338,0.6126098817823583,0.6777330650570087,0.24862587451934814,0.17982253,-0.0750165581703186
0.45091894788714415,0.7282524326785862,0.5829039102758412,0.6942238267148014,0.23443564772605896,0.17097883,-0.07279640436172485
0.45058080122969985,0.7339020579330181,0.6092755380418309,0.6795131845841785,0.24759650230407715,0.1773126,-0.07463866472244263
0.4505264236553165,0.7324727788295251,0.5980600181873295,0.6886561954624781,0.23593205213546753,0.17228521,-0.07265454530715942
0.4508833742188435,0.7395913545995927,0.6311003334343741,0.6716129032258065,0.24980509281158447,0.1768223,-0.07305669784545898
0.4506164581114077,0.7279166958246268,0.5780539557441648,0.6995597945707998,0.23244866728782654,0.17386729,-0.07173341512680054
0.450235554603528,0.7338810913429062,0.606547438617763,0.6827021494370522,0.23402303457260132,0.17365393,-0.0721355676651001
0.450423807177812,0.7278607170646195,0.5804789330100031,0.6961105052708106,0.2320955991744995,0.17359367,-0.07182824611663818
0.4498077290154062,0.7319411502420612,0.5968475295544104,0.6884615384615385,0.22466272115707397,0.16839418,-0.0736227035522461
0.4498628306300845,0.7289589185564003,0.5874507426492876,0.6906628652886672,0.2144167423248291,0.16823412,-0.07433140277862549
0.44969935646543746,0.7331676166017216,0.6010912397696272,0.6871101871101871,0.23515409231185913,0.17478381,-0.07244211435317993
0.4496538610784046,0.733461420275457,0.6004849954531676,0.6888038942976356,0.2274995744228363,0.16983464,-0.07130855321884155
0.44982087593008474,0.7350329419735708,0.6107911488329797,0.6812035158891143,0.2364349067211151,0.17772438,-0.07034111022949219
0.44977568311590876,0.7319364909998142,0.596241285237951,0.689208128941836,0.2331671118736267,0.1766679,-0.07284349203109741
0.44948555317731514,0.731230005122,0.5916944528645044,0.6926898509581263,0.23972028493881226,0.1767429,-0.0709071159362793
0.45099262696701625,0.742279782611518,0.6411033646559563,0.6684576485461441,0.22730854153633118,0.17201969,-0.07187604904174805
0.4492103855925088,0.7338438174049297,0.6016974840860867,0.6885189039195283,0.236075758934021,0.17713071,-0.07192230224609375
0.44923354440282276,0.7332888926062304,0.59745377387087,0.692064606741573,0.21750500798225403,0.1691213,-0.06899434328079224
